id;class;avg;sentence;particle;verb;unigrams;all;nounsabs;subjabs;objabs;subjcase;objcase;objanimacy;subjanimacy;casegovernment;advfreq;vfreq;pvfreq
1;non-literal;5;'enamik tööstus olema alla käima sisseseade olema aegunud';alla;käima;non-literal;3.44;4.61;1.55;0;nom;noobj;0;no;0;63131;190363;791
2;non-literal;5;'ajakirjandus käima keeleliselt alla mis siis üks lihtsurelik nõudma';alla;käima;non-literal;3.05;3.05;3.23;0;nom;noobj;0;no;0;63131;190363;791
3;non-literal;5;'moraal käima alla';alla;käima;non-literal;3.51;1.01;1.01;0;nom;noobj;0;no;0;63131;190363;791
4;non-literal;5;'michael jackson stiil olema aasta jooksul alla käima';alla;käima;non-literal;3.87;4.62;2.83;0;nom;noobj;0;no;0;63131;190363;791
5;non-literal;5;'magneet trendirubriik olema viimane aeg alla käima';alla;käima;non-literal;3.49;3.79;0;0;nom;noobj;0;no;0;63131;190363;791
6;non-literal;5;'endine pääenergeetik ja autogaraaž juhataja olema aasta jooksul nägema kuidas elu kõik reiljan sünnikoht mikitamäe talu alla käima';alla;käima;non-literal;4.01;5.92;1.84;0;nom;noobj;0;no;0;63131;190363;791
7;non-literal;5;'kirjutav inimene käima alla';alla;käima;non-literal;5.03;6.18;6.18;0;nom;noobj;0;yes;0;63131;190363;791
8;non-literal;5;'siis kaduma ida turg vajadus ka must kast järele kuna lennundus käima alla';alla;käima;non-literal;3.66;4.46;3.91;0;nom;noobj;0;no;0;63131;190363;791
9;non-literal;5;'soovija saama alla laadima volkswageni-teemaline ekraanipilt';alla;laadima;non-literal;4.23;5.49;0;7.54;nosubj;part;no;0;0;63131;3985;362
10;non-literal;5;'rajakaart saama alla laadima klubi kodulehekülg';alla;laadima;non-literal;5.13;6.88;0;7.1;nosubj;part;no;0;0;63131;3985;362
11;non-literal;5;'viirus laadima interenet alla fail mis kuuluma tema juurde';alla;laadima;non-literal;4.13;6.84;5.74;7.38;nom;part;no;no;0;63131;3985;362
12;non-literal;5;'pakett saama tellidma cd kuju või alla laadima microsoft veebisait';alla;laadima;non-literal;5.53;7.22;0;7.4;nosubj;part;no;0;0;63131;3985;362
13;non-literal;5;'taskuarvuti kasutaja olema enne meelitama alla laadima nn trooja hobune sarnane programm';alla;laadima;non-literal;4.14;6.35;0;5.37;nosubj;part;no;0;0;63131;3985;362
14;non-literal;5;'üle maailm olema ligikaudu miljon kasutaja beos internet alla laadima';alla;laadima;non-literal;4.2;5.8;4.3;4.33;nom;gen;no;yes;0;63131;3985;362
15;non-literal;5;'kasutamine tulema alla laadima 4.8 mb maht tarkvara';alla;laadima;non-literal;4.31;2.73;0;7.6;nosubj;nom;no;0;0;63131;3985;362
16;non-literal;5;'hiljuti soetatud adsl-ühendus olema küllalt kiire et jutukas istuma või uus mäng alla laadima';alla;laadima;non-literal;3.46;3.92;0;3.8;nosubj;part;no;0;0;63131;3985;362
17;non-literal;5;'esmaspäev võima kõik soovija veebsait alla laadima veebilehitseja uusim versioon';alla;laadima;non-literal;3.64;4.47;3.44;1.3;nom;part;no;yes;0;63131;3985;362
18;non-literal;5;'samuti saama alla laadima kuni 30kilobaidine andmehulki';alla;laadima;non-literal;2.81;4.07;0;4.07;nosubj;part;no;0;0;63131;3985;362
19;literal;2;'tingima 1000 dollar alla ja maksma 29000 sula kinni';alla;tingima;non-literal;4.39;7.05;1.91;0;nom;noobj;0;yes;0;63131;14492;55
20;literal;2;'kõik hind on kaubeldav alla saama tingima kuni 50%';alla;tingima;literal;3.08;5.89;0;0;nosubj;noobj;0;0;0;63131;14492;55
21;literal;2;'nii kinnisvara ostja kui ka võtja tingima iga võimalik juht hind alla';alla;tingima;literal;3.32;4.77;5.91;5.89;nom;part;no;yes;0;63131;14492;55
22;literal;2;'uurima kui palju tema see eest maksma ja õnnestuma hind veel pool miljon kroon võrra alla tingima';alla;tingima;literal;3.09;7.09;1.91;5.89;nom;part;no;yes;0;63131;14492;55
23;literal;2;'hiinlane meeldima väga valge miss ja miss kasutama see ära ja tingima hind alla';alla;tingima;literal;3.36;5.12;3.76;5.89;nom;nom;no;yes;0;63131;14492;55
24;literal;2;'tingima isegi hind alla';alla;tingima;literal;3.5;5.89;3.27;5.89;nom;part;no;yes;0;63131;14492;55
25;non-literal;4;'kirjutama kviitung alla';alla;kirjutama;non-literal;5.7;8.63;1.91;0;nom;noobj;0;yes;all;63131;143849;12818
