WORD	Rating
reklaamtahvel	9.895
küpsisepakk	9.848
auto	9.798
videomagnetofon	9.664
apelsin	9.567
jääkaru	9.516
tomat	9.505
päevalilleseeme	9.479
baarilett	9.465
banaan	9.444
kultuurimaja	9.418
šampinjon	9.384
aeduba	9.38
kana	9.366
jalgratas	9.354
merisiga	9.35
wc-pott	9.346
elevant	9.344
küpsis	9.329
flööt	9.328
rannakarp	9.32
metssealiha	9.306
kuusk	9.306
lind	9.297
manna	9.296
tops	9.283
teokarp	9.279
kassettmakk	9.279
kaerahelves	9.269
küünlajalg	9.255
mikrolaineahi	9.254
tiiger	9.25
kanasupp	9.243
taco	9.23
vaarikas	9.228
jääkoskel	9.215
pianiino	9.211
halvaa	9.204
koaala	9.193
hakkliha	9.189
dattel	9.183
shnitsel	9.182
suguelund	9.177
hernekaun	9.177
martsipan	9.172
jõulukuusk	9.159
jõulupõrsas	9.155
kilpkonn	9.153
kapsataim	9.152
luksusnumber	9.148
vesirott	9.147
lehtsalat	9.146
aken	9.146
paber	9.143
küülik	9.143
kanamuna	9.141
magnetofon	9.139
oliiv	9.138
trühvel	9.134
lambatall	9.132
ahjukartul	9.131
pohlamoos	9.13
loorberileht	9.128
kirves	9.126
praemuna	9.125
vihmauss	9.123
põrsas	9.122
viinamari	9.12
maapähkel	9.119
juus	9.119
krokodill	9.117
panter	9.114
õun	9.111
kohvitass	9.11
teekotike	9.108
bussiootepaviljon	9.105
šokolaad	9.093
kitarr	9.089
aknatrell	9.087
wc-paber	9.085
tammetõru	9.082
sefiiritort	9.082
rinnanibu	9.079
akordion	9.078
rahatäht	9.075
parukas	9.071
peenis	9.07
metroo	9.07
videomakk	9.068
fotoaparaat	9.068
härjaliha	9.067
sääsevõrk	9.066
krevett	9.065
muna	9.064
puljongikuubik	9.06
täringumäng	9.055
rinnafilee	9.052
laud	9.052
konservmais	9.051
punnivinn	9.05
squash	9.046
hirss	9.038
mobiil	9.035
vahtrasiirup	9.03
lipsunõel	9.03
käsivars	9.03
ilutulestikuvahend	9.028
lips	9.026
tort	9.022
koolimaja	9.022
nahkkinnas	9.02
lihapall	9.019
kaelakarbonaad	9.016
veinikelder	9.013
forellifilee	9.013
tuvi	9.012
sardell	9.012
friikartul	9.012
spagett	9.011
golfikepp	9.009
tomatipasta	9.005
munand	9.002
kirjutuslaud	9.002
aprikoos	9
dušikabiin	8.999
lauajupp	8.995
pallaadium	8.994
piimapakk	8.993
mänguautomaat	8.993
loomakostüüm	8.993
klaver	8.992
toru	8.991
telefonipost	8.987
taskurätt	8.987
kiivi	8.986
tšilli	8.985
mängukaru	8.985
baklažaan	8.983
tõukass	8.981
pliiatsiteritaja	8.98
jaanalinnumuna	8.98
saiga	8.979
suitsukala	8.978
kotlet	8.978
kartulikrõps	8.978
tarakan	8.976
seahakkliha	8.976
pistaatsia	8.976
250grammine	8.975
sisalik	8.971
hapukurk	8.97
suitsukana	8.969
rosin	8.968
kuldmünt	8.967
suitsuribi	8.966
pastapliiats	8.963
märkmik	8.962
metskits	8.96
karu	8.96
pintsett	8.959
karabiin	8.959
forellimari	8.958
rulluisk	8.955
riivsai	8.955
köömen	8.955
saiake	8.953
trumm	8.952
sidrun	8.952
hamburger	8.952
tualett	8.951
lillkapsas	8.95
pastinaak	8.947
riis	8.946
hernes	8.946
magamisalus	8.945
hurmaa	8.942
hiidkrevett	8.942
marlimähe	8.941
kukkel	8.941
põsk	8.939
ananass	8.939
maastikujalgratas	8.937
soolaheeringas	8.936
käekell	8.936
münt	8.935
argonaut	8.934
akvaarium	8.934
kohviuba	8.933
kohvik	8.931
kiirabiauto	8.93
vesipiip	8.929
eskalaator	8.929
söögisaal	8.928
sinihallitusjuust	8.928
küünarnukk	8.928
kappar	8.927
köök	8.925
krossimootorratas	8.922
metsasarv	8.921
fotoalbum	8.921
sojauba	8.919
kuldraha	8.919
arvuti	8.919
diivan	8.918
restoran	8.917
päikesekuivatatud	8.917
ondatra	8.917
ferrari	8.917
prill	8.916
mapp	8.916
elutuba	8.916
riisikas	8.915
kaubavagun	8.915
safiir	8.914
hammas	8.913
teemant	8.912
ihupesu	8.91
nutria	8.909
kevadlill	8.909
täitesulepea	8.906
õhupall	8.905
kümblustünn	8.905
korteriaken	8.905
kiik	8.905
peopesa	8.903
lõbusõidulaev	8.903
elektripardel	8.902
autodroom	8.902
klops	8.901
päikeseprill	8.898
ripse	8.895
searasv	8.893
metsjänes	8.893
kanatükk	8.893
mopeed	8.892
mootorratas	8.892
maniokk	8.891
faasan	8.891
porgand	8.889
jäänael	8.888
basskitarr	8.886
žetoon	8.885
pingviin	8.885
paprika	8.884
varvas	8.883
pitsamaitseaine	8.883
duubelmakk	8.883
vaas	8.882
tromboon	8.882
sõtkas	8.882
kaust	8.882
õlg	8.881
purskkaev	8.879
pult	8.879
pitsa	8.879
jaaguar	8.879
soolalõhe	8.878
peapael	8.876
juuksesalk	8.876
tuletikk	8.875
teksaspüksid	8.875
sukkpüksid	8.872
vanillisuhkur	8.87
kassipoeg	8.87
parmupill	8.867
batuut	8.867
tuhkur	8.866
croissant	8.866
aroonia	8.866
sülearvuti	8.865
piparmünt	8.865
koosolekulaud	8.864
vutimuna	8.862
tsement	8.862
suitsupeekon	8.861
sõrm	8.861
elektripirn	8.86
süütevõti	8.859
küüslauk	8.859
redis	8.858
maapähklivõi	8.857
kardin	8.857
mustsõstar	8.855
voodilina	8.854
kukeseen	8.854
kohv	8.854
tursafilee	8.853
plasmateler	8.852
kaneel	8.852
saiapäts	8.851
paberileht	8.851
maisitõlvik	8.851
kaamel	8.851
vann	8.85
merikilpkonn	8.85
jahu	8.85
wc	8.849
laup	8.847
hostel	8.847
hai	8.847
tigu	8.844
tualettruum	8.842
spargelkapsas	8.842
sammas	8.842
niit	8.842
motell	8.842
sinepiseeme	8.841
kileümbris	8.841
garanjan	8.839
butiik	8.839
pallike	8.838
metssiga	8.837
prügikast	8.836
vannituba	8.835
abielusõrmus	8.835
mobiiltelefon	8.834
eesruum	8.833
söökla	8.83
keet	8.83
valgepõsk-lagle	8.827
purjepaat	8.826
poolkoib	8.826
keedis	8.826
rind	8.825
nastik	8.825
kanapee	8.825
soojaveeboiler	8.824
suhkruvatt	8.822
karussell	8.822
elupuu	8.82
rasvatihane	8.819
kanarull	8.819
cd-pleier	8.817
altar	8.817
roos	8.816
kotkas	8.814
kakao	8.814
ikebana	8.814
maja	8.813
homaar	8.813
rõdupiire	8.811
viirpapagoi	8.81
turvakaamera	8.81
triiksärk	8.81
rätik	8.81
merekarp	8.81
postament	8.809
roosiõli	8.805
medõde	8.805
huulepulk	8.805
tiibklaver	8.804
kael	8.804
quiche	8.803
käterätik	8.802
rannahoone	8.801
peekon	8.801
aianduskeskus	8.801
kaminasaal	8.8
mansetinööp	8.798
kõrvarõngas	8.798
popkorn	8.797
arbuus	8.797
taldrik	8.796
oliivõli	8.796
linnutoit	8.796
pistoda	8.795
kaseleht	8.793
kõrv	8.792
karuliha	8.792
ige	8.792
madrats	8.789
silmalaug	8.786
sirmik	8.785
nuga	8.785
pihlakas	8.784
lumepall	8.784
kaelapael	8.784
turvatool	8.782
tomatikast	8.782
suitsuruum	8.782
elumaja	8.78
särgike	8.779
ronk	8.779
lauanuga	8.777
kukk	8.777
arvutihiir	8.777
nõel	8.775
artišokk	8.775
whiskas	8.774
võidusõiduauto	8.774
puuriit	8.771
piparkook	8.771
diisliõli	8.771
nicotinell	8.77
wok-pann	8.769
rinnahoidja	8.769
pangakaart	8.769
kalapaat	8.767
roosiõis	8.766
pasta	8.766
mügri	8.766
maisihelves	8.766
jõehobu	8.766
trompet	8.765
põdrasarv	8.765
lasagne	8.765
autokumm	8.765
juurviljapuljong	8.764
hambapasta	8.764
krabipulk	8.763
puuhalg	8.762
padrun	8.762
nöörijupp	8.762
müts	8.761
mask	8.761
kohtumaja	8.761
automaatpüss	8.761
vets	8.76
saunalina	8.76
rätt	8.76
beloussova	8.76
uba	8.759
kristallvaas	8.759
omlett	8.758
miniküülik	8.758
lillepott	8.758
kommipaber	8.757
sumomaadlus	8.755
pojeng	8.755
liuväli	8.755
luigetiik	8.754
käsimikser	8.754
kaelkirjak	8.754
juurseller	8.754
400g	8.754
vahvel	8.751
püüton	8.751
võilill	8.75
särk	8.75
rämpsuhunnik	8.75
pagaritöökoda	8.75
kalapulk	8.75
higi	8.75
karjasepasun	8.749
sardiin	8.748
telekas	8.747
teler	8.746
soolakurk	8.746
searibi	8.746
põldpüü	8.746
ananassirõngas	8.744
sibul	8.743
binokkel	8.743
videokaamera	8.742
televiisor	8.742
šalottsibul	8.742
põdraliha	8.742
tiik	8.741
lift	8.741
kass	8.739
jopelukk	8.739
kohupiim	8.738
ebaküdoonia	8.738
tampoon	8.737
ketšup	8.737
kaamera	8.737
konservuba	8.736
jäätisepall	8.736
üüriauto	8.735
riki	8.735
tramm	8.733
redel	8.733
šokolaadiglasuur	8.732
pelmeen	8.73
õpilaspilet	8.73
kits	8.73
simba	8.728
presidendisviit	8.728
lant	8.728
lambapraad	8.728
buss	8.728
kalakajakas	8.727
pesumasin	8.726
kanapada	8.726
jalg	8.726
beebi	8.726
käekott	8.725
pastaroog	8.722
kurg	8.721
huul	8.721
muusikakeskus	8.72
soolaforell	8.719
raasuke	8.718
zaporozhets	8.716
saunaruum	8.716
kõri	8.716
merekivi	8.715
võinuga	8.714
tugitool	8.713
tätoveering	8.713
puder	8.713
pekk	8.713
kööginurk	8.713
jahirelv	8.713
tarantel	8.712
raamaturiiul	8.712
nartsiss	8.712
kaktus	8.712
sohva	8.711
rukis	8.71
hantel	8.71
doomino	8.71
vagel	8.709
tualettpaber	8.709
ribiliha	8.709
prussakas	8.709
nokk	8.709
vilkur	8.708
pistaatsiapähkel	8.708
papaia	8.708
pärdik	8.707
põlv	8.705
krüsanteem	8.705
antiloop	8.705
lillhernes	8.704
grillroog	8.704
sisefilee	8.703
konservkurk	8.703
camembert	8.703
luukere	8.702
peekoniviil	8.701
koerarakend	8.701
garaažiuks	8.701
tortilla	8.7
põder	8.7
pirn	8.7
neer	8.7
mootorpaat	8.7
burrito	8.699
vasikaliha	8.697
suitsusink	8.697
faberge	8.697
elektriküünal	8.697
juuksehooldusvahend	8.695
sülg	8.694
mõõdulint	8.694
marlboro	8.694
ciabatta	8.694
bolognes	8.694
ribastama	8.693
ploomipuu	8.693
nuudel	8.693
videopleier	8.691
cd-mängija	8.691
tuletõrjeredel	8.69
šnitsel	8.69
röstsai	8.69
maasikas	8.69
kuldkõrvarõngas	8.69
foto	8.69
tolmuimeja	8.688
plokkflööt	8.688
padi	8.688
metallmärk	8.688
küünarluu	8.688
gondel	8.688
revolver	8.686
püstol	8.686
pesto	8.686
iste	8.686
dollar	8.686
rong	8.685
dinosaurus	8.685
tantsugrupp	8.684
korvpallilaud	8.684
mustasõstar	8.683
e-kaubamaja	8.683
autoraadio	8.683
vaniljejäätis	8.682
kahlua	8.682
arvutiklass	8.682
veisehakkliha	8.681
vahvlijäätis	8.681
lutsern	8.681
hüljes	8.681
puuleht	8.68
pärm	8.68
paavian	8.678
elektripliit	8.678
coronas	8.678
tiigerkrevett	8.677
munapuder	8.677
kalakonserv	8.677
smaragd	8.676
mutrivõti	8.676
lilleaed	8.676
kuldkett	8.676
hummus	8.676
bemari	8.676
vagun	8.675
singikuubik	8.674
metsalind	8.674
mardikas	8.674
soolapähkel	8.672
makrell	8.672
joogipudel	8.672
kipslill	8.671
kartulipuder	8.671
jäänaaskel	8.671
plafoon	8.67
part	8.67
mõõkkala	8.67
timut	8.669
joogiklaas	8.669
tuurakala	8.668
säga	8.668
teekann	8.667
suupill	8.667
supikana	8.667
seapõrsas	8.667
pannkook	8.667
käerauad	8.667
tomatikaste	8.666
munaroog	8.666
abatükk	8.666
ploom	8.664
spordisaal	8.663
pudeliavaja	8.663
mamm	8.661
mägijalgratas	8.661
härg	8.661
hambahari	8.661
sissetehtud	8.66
kiirusemõõtja	8.66
parklapilet	8.659
luksusvill	8.659
lavašš	8.659
klarnet	8.658
basiilikuleht	8.658
aluspüksid	8.658
kraanikauss	8.657
kirjutusmasin	8.657
brokol	8.657
valgehallitusjuust	8.655
selg	8.655
puukuur	8.655
võileib	8.654
viiul	8.654
pizza	8.654
pesulaud	8.654
koiott	8.654
värvipliiats	8.652
riidetükk	8.652
kasukas	8.652
akudrell	8.652
mürkhõrgutis	8.651
lennujaam	8.651
ajalehepaber	8.649
tabasco	8.648
purk	8.648
pajaroog	8.647
suvikõrvits	8.646
rohutirts	8.646
odrakruup	8.646
mandlilaast	8.646
aiapost	8.646
pai	8.645
auster	8.645
25kilone	8.645
saal	8.644
väljaheide	8.643
risotto	8.643
radiaator	8.643
kaneelikoor	8.643
magamistuba	8.642
klahv	8.642
puus	8.641
loomaliha	8.641
lill	8.641
küpsetuskott	8.641
süstal	8.64
rool	8.64
juustuburger	8.64
virsik	8.638
sinep	8.638
politseiauto	8.638
õunakook	8.638
konservtomat	8.638
kodukits	8.638
einelaud	8.638
bikiinid	8.638
aiakeskus	8.638
mozzarellat	8.637
ericsson	8.637
eesnahk	8.637
kefiir	8.635
hamster	8.635
oggy	8.634
karbonaad	8.634
hobuvanker	8.634
alahuul	8.634
varsseller	8.633
piprakaun	8.633
mahagonipuu	8.633
maasikajogurt	8.633
vaip	8.632
krohv	8.631
juustuvalik	8.631
bento	8.631
triikimislaud	8.63
lõunaoode	8.63
rukkirääk	8.629
puidutöökoda	8.629
palkmaja	8.629
hostell	8.629
veranda	8.628
toiduõli	8.627
teetõke	8.627
päevalilleõli	8.627
grillkana	8.626
gaasipliit	8.626
saksofon	8.625
laepaneel	8.625
kviitung	8.625
härjasilm	8.625
konservikarp	8.624
kinžall	8.624
viltpliiats	8.622
röstima	8.622
kuradiratas	8.622
karmoška	8.622
tennispall	8.621
tantsupõrand	8.621
kartul	8.621
elastikside	8.621
restoranvagun	8.62
püramiid	8.62
pilt	8.62
mantel	8.62
nagi	8.619
luksuskaater	8.619
randmepael	8.618
munakoor	8.618
lastemähe	8.618
kohvipakk	8.618
kamin	8.618
teleskoop	8.617
talumaja	8.617
takso	8.617
mesi	8.617
leopard	8.617
külmutuskapp	8.617
koduküpsetatud	8.617
seep	8.616
ruloo	8.616
cathedral	8.616
ahv	8.616
vildikas	8.615
mais	8.615
kohvimasin	8.615
hani	8.615
lutipudel	8.614
kapsas	8.614
instrumentarium	8.614
äratuskell	8.614
vaniljesuhkur	8.613
lihaleib	8.613
vihmavari	8.612
shampinjon	8.612
pearätt	8.612
prügiurn	8.611
linnakaart	8.611
kurikas	8.611
kauss	8.611
silmamuna	8.61
konn	8.61
tänavapost	8.609
siga	8.609
männioks	8.609
mänguasi	8.609
mamba	8.609
videolint	8.608
kümnekas	8.608
sööginõu	8.607
pliit	8.607
ootepaviljon	8.607
brokkoli	8.607
borš	8.607
puudersuhkur	8.605
putukas	8.605
oliiviõli	8.605
kure	8.605
kaustik	8.605
haavlipüss	8.605
salsa	8.603
päevituskreem	8.603
padjapüür	8.603
jamss	8.603
suusatõstuk	8.602
suu	8.602
salatiõli	8.602
puuvili	8.602
peedisupp	8.602
keeks	8.602
kalamari	8.602
laev	8.601
eiffel	8.601
anakonda	8.601
tanduur	8.6
